Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Memphis Grizzlies,Dallas Mavericks,0021700066,96,0.75,0.443,0.349,0.754,41.4,18.0,14.6,7.6,4.2,5.5,105.7,100.3,0.557,91,0.2,0.419,0.372,0.713,39.9,21.7,13.3,7.4,3.1,-9.8,101.4,111.0,0.529,1,10/26/2017
Golden State Warriors,Washington Wizards,0021700075,120,0.6,0.512,0.422,0.853,43.0,28.5,16.4,7.1,7.5,6.2,115.6,110.1,0.64,117,0.75,0.45,0.284,0.806,40.6,21.2,13.4,10.4,5.9,2.6,104.5,102.1,0.546,1,10/27/2017
Los Angeles Lakers,Toronto Raptors,0021700076,92,0.5,0.464,0.323,0.717,41.8,21.9,17.4,7.2,4.7,-4.1,98.9,102.5,0.539,101,0.5,0.457,0.306,0.87,42.7,23.3,15.3,8.7,5.8,10.2,110.2,100.0,0.577,0,10/27/2017
New York Knicks,Brooklyn Nets,0021700073,107,0.0,0.429,0.242,0.72,42.3,20.3,18.6,7.6,2.7,-15.8,96.2,112.0,0.504,86,0.6,0.459,0.364,0.782,42.6,21.2,15.6,9.5,4.3,1.7,112.6,110.8,0.571,1,10/27/2017
Orlando Magic,San Antonio Spurs,0021700071,114,0.75,0.48,0.455,0.837,44.3,24.1,14.5,7.7,5.5,6.5,114.7,107.7,0.598,87,1.0,0.463,0.343,0.75,52.3,21.9,14.3,6.8,7.6,10.2,107.3,97.1,0.533,1,10/27/2017
Atlanta Hawks,Denver Nuggets,0021700072,100,0.2,0.418,0.342,0.854,43.2,19.1,14.5,9.4,3.6,-8.0,97.8,105.1,0.509,105,0.25,0.439,0.351,0.714,49.0,23.3,19.0,5.6,2.1,-3.8,99.7,103.1,0.522,0,10/27/2017
Minnesota Timberwolves,Oklahoma City Thunder,0021700074,119,0.4,0.461,0.374,0.774,39.6,22.6,15.2,7.5,3.0,-9.6,106.1,114.9,0.551,116,0.5,0.453,0.333,0.675,41.6,23.6,17.5,11.4,6.3,7.1,106.3,99.2,0.538,1,10/27/2017
Charlotte Hornets,Houston Rockets,0021700070,93,0.5,0.431,0.325,0.736,50.5,16.8,16.5,4.3,4.3,3.5,100.8,98.2,0.543,109,0.8,0.452,0.281,0.821,44.9,22.7,16.3,9.0,5.5,3.1,108.0,104.5,0.568,0,10/27/2017
Chicago Bulls,Oklahoma City Thunder,0021700079,69,0.25,0.409,0.336,0.812,49.1,23.0,17.5,4.7,3.7,-7.6,99.2,107.1,0.506,101,0.4,0.462,0.325,0.722,40.5,22.8,16.9,10.8,6.9,5.1,109.0,103.7,0.55,0,10/28/2017
LA Clippers,Detroit Pistons,0021700084,87,1.0,0.465,0.371,0.71,50.9,20.5,13.2,10.1,3.5,19.5,112.4,92.7,0.556,95,0.6,0.463,0.343,0.783,42.1,22.2,13.9,8.7,2.2,4.4,107.3,103.0,0.546,0,10/28/2017
Miami Heat,Boston Celtics,0021700078,90,0.5,0.467,0.354,0.746,40.6,22.8,13.8,7.5,5.8,-2.3,106.5,109.6,0.556,96,0.6,0.433,0.365,0.732,46.4,22.2,15.3,9.1,4.4,5.4,102.2,98.0,0.537,0,10/28/2017
Portland Trail Blazers,Phoenix Suns,0021700083,114,0.6,0.433,0.443,0.83,52.0,19.2,14.4,7.1,6.1,14.6,112.1,98.4,0.551,107,0.4,0.433,0.333,0.746,41.4,15.9,17.2,7.4,5.7,-15.3,96.0,110.9,0.527,1,10/28/2017
Utah Jazz,Los Angeles Lakers,0021700082,96,0.4,0.465,0.313,0.807,41.4,23.4,19.5,9.3,7.0,-2.3,97.5,100.4,0.551,81,0.4,0.463,0.287,0.716,42.8,21.4,17.9,7.1,4.9,-4.9,96.9,101.6,0.534,1,10/28/2017
Dallas Mavericks,Philadelphia 76ers,0021700081,110,0.167,0.405,0.359,0.732,42.4,21.5,13.5,7.9,3.1,-9.1,100.3,109.2,0.514,112,0.2,0.428,0.358,0.686,44.7,22.9,17.8,8.4,4.1,-7.6,98.4,105.3,0.517,0,10/28/2017
Memphis Grizzlies,Houston Rockets,0021700080,103,0.8,0.437,0.336,0.776,42.7,18.1,15.4,7.5,4.6,5.4,104.6,99.2,0.557,89,0.833,0.451,0.303,0.823,46.2,22.5,16.4,8.4,5.6,5.3,108.9,103.2,0.574,1,10/28/2017
New Orleans Pelicans,Cleveland Cavaliers,0021700077,123,0.4,0.46,0.355,0.74,44.8,20.5,16.8,6.9,6.0,-2.9,103.7,106.0,0.562,101,0.6,0.476,0.349,0.786,45.5,22.0,16.5,5.1,4.9,0.6,109.1,109.0,0.577,1,10/28/2017
Golden State Warriors,Detroit Pistons,0021700091,107,0.667,0.507,0.393,0.86,44.1,28.9,16.5,7.0,8.3,5.6,115.0,110.0,0.628,115,0.667,0.455,0.339,0.76,43.7,21.2,13.8,9.1,2.9,5.1,105.7,101.0,0.536,0,10/29/2017
Brooklyn Nets,Denver Nuggets,0021700087,111,0.5,0.451,0.364,0.774,41.6,20.8,15.7,8.8,3.8,-1.9,109.0,110.9,0.563,124,0.4,0.443,0.328,0.72,48.6,23.8,17.6,6.1,2.5,-2.0,101.2,103.5,0.521,0,10/29/2017
Cleveland Cavaliers,New York Knicks,0021700090,95,0.5,0.474,0.354,0.779,44.0,21.4,16.7,5.6,4.4,-3.2,107.6,111.2,0.576,114,0.25,0.434,0.269,0.696,46.0,20.2,17.1,7.5,3.6,-6.5,100.0,106.2,0.505,0,10/29/2017
Atlanta Hawks,Milwaukee Bucks,0021700085,106,0.167,0.418,0.359,0.87,43.6,19.9,14.2,9.0,3.7,-7.5,99.0,105.5,0.513,117,0.6,0.483,0.36,0.775,38.8,22.6,15.2,7.8,4.3,-1.2,104.7,104.7,0.573,0,10/29/2017
Indiana Pacers,San Antonio Spurs,0021700086,97,0.4,0.485,0.328,0.758,41.6,20.6,14.2,8.4,4.1,-1.6,110.9,112.9,0.569,94,0.8,0.437,0.298,0.774,51.5,21.2,15.1,7.0,7.6,2.5,102.9,100.8,0.512,1,10/29/2017
Sacramento Kings,Washington Wizards,0021700089,83,0.2,0.434,0.382,0.767,42.7,20.0,14.1,8.0,3.5,-5.5,100.6,106.6,0.514,110,0.6,0.449,0.328,0.795,40.1,22.6,13.6,9.6,5.8,1.5,105.5,104.2,0.547,0,10/29/2017
Charlotte Hornets,Orlando Magic,0021700088,120,0.4,0.419,0.336,0.705,49.6,16.7,15.1,4.6,4.4,-0.4,100.0,101.2,0.526,113,0.8,0.498,0.459,0.797,44.6,23.7,15.2,8.0,5.8,10.5,114.8,103.5,0.605,1,10/29/2017
New York Knicks,Denver Nuggets,0021700094,116,0.4,0.442,0.314,0.717,47.0,21.6,16.4,7.8,4.1,-1.2,102.9,103.9,0.52,110,0.5,0.454,0.358,0.748,47.7,23.4,15.5,6.2,3.2,0.5,104.2,103.9,0.535,1,10/30/2017
